Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
1	Section 1.	1.1 - 1.2	"Short title. This act shall be known and may be cited as the ""climate and community investment act"". "	short, title, this, act, shall, be, known, and, may, be, cited, as, the, climate, and, community, investment, act	title, act, known, may, cited, climate, community, investment	§ 1.	8
2	§ 2.	1.3 - 1.4	Legislative findings and declaration. The legislature finds and declares that: 	legislative, findings, and, declaration, the, legislature, finds, and, declares, that	legislative, findings, declaration, legislature, finds, declares	§ 2.	6
3	1.	1.5 - 1.7	Climate change is adversely affecting economic well-being, public health, natural resources, and the environment of New York. The adverse impacts of climate change include: 	climate, change, is, adversely, affecting, economic, well, being, public, health, natural, resources, and, the, environment, of, new, york, the, adverse, impacts, of, climate, change, include	climate, adversely, affecting, economic, public, health, natural, resources, environment, new, york, adverse, impacts	§ 2.1.	13
4	(a)	1.8 - 1.11	an increase in the severity and frequency of extreme weather events, such as storms, flooding, and heat waves, which can cause direct injury or death, property damage, and ecological damage (e.g., through the release of hazardous substances into the environment); 	an, increase, in, the, severity, and, frequency, of, extreme, weather, events, such, as, storms, flooding, and, heat, waves, which, can, cause, direct, injury, or, death, property, damage, and, ecological, damage, e.g, through, the, release, of, hazardous, substances, into, the, environment	increase, severity, frequency, extreme, weather, events, storms, flooding, heat, waves, cause, direct, injury, death, property, damage, ecological, e.g, release, hazardous, substances, environment	§ 2.1.(a)	22
5	(b)	1.12 - 1.15	rising sea levels, which exacerbate damage from storm surges and flooding, contribute to coastal erosion and saltwater intrusion, and inundate low-lying areas, leading to the displacement of or damage to coastal habitat, property, and infrastructure; 	rising, sea, levels, which, exacerbate, damage, from, storm, surges, and, flooding, contribute, to, coastal, erosion, and, saltwater, intrusion, and, inundate, low, lying, areas, leading, to, the, displacement, of, or, damage, to, coastal, habitat, property, and, infrastructure	rising, sea, levels, exacerbate, damage, storm, surges, flooding, contribute, coastal, erosion, saltwater, intrusion, inundate, lying, areas, leading, displacement, habitat, property, infrastructure	§ 2.1.(b)	21
6	(c)	1.16 - 1.16	exacerbation of air pollution; 	exacerbation, of, air, pollution	exacerbation, air, pollution	§ 2.1.(c)	3
7	(d)	1.17 - 1.18	an increase in the incidences of infectious diseases, asthma attacks, heart attacks, and other negative health outcomes; 	an, increase, in, the, incidences, of, infectious, diseases, asthma, attacks, heart, attacks, and, other, negative, health, outcomes	increase, incidences, infectious, diseases, asthma, attacks, heart, negative, health, outcomes	§ 2.1.(d)	10
8	(e)	1.19 - 1.20	increased average temperatures, which increase the demand for air conditioning and refrigeration among residents and businesses; and 	increased, average, temperatures, which, increase, the, demand, for, air, conditioning, and, refrigeration, among, residents, and, businesses, and	increased, average, temperatures, increase, demand, air, conditioning, refrigeration, residents, businesses	§ 2.1.(e)	10
9	(f)	2.1 - 2.2	extensive environmental degradation with devastating impacts to wildlife and natural habitats, ecosystems and food supplies. 	extensive, environmental, degradation, with, devastating, impacts, to, wildlife, and, natural, habitats, ecosystems, and, food, supplies	extensive, environmental, degradation, devastating, impacts, wildlife, natural, habitats, ecosystems, food, supplies	§ 2.1.(f)	11
10	2.	2.3 - 2.11	Many of the impacts of climate change are already observable in New York state and the northeastern United States. Annual average temperatures are on the rise, winter snow cover is decreasing, heat waves and precipitation are intensifying, and sea levels along New York's coastline are approximately one foot higher than they were in 1900. New York has also experienced an increasing number of extreme and unusual weather events, like Hurricanes Irene and Lee and the unprecedented Superstorm Sandy in 2012, which caused at least 53 deaths and $32 billion in damage in New York state. 	many, of, the, impacts, of, climate, change, are, already, observable, in, new, york, state, and, the, northeastern, united, states, annual, average, temperatures, are, on, the, rise, winter, snow, cover, is, decreasing, heat, waves, and, precipitation, are, intensifying, and, sea, levels, along, new, york's, coastline, are, approximately, one, foot, higher, than, they, were, in, 1900, new, york, has, also, experienced, an, increasing, number, of, extreme, and, unusual, weather, events, like, hurricanes, irene, and, lee, and, the, unprecedented, superstorm, sandy, in, 2012, which, caused, at, least, 53, deaths, and, 32, billion, in, damage, in, new, york, state	impacts, climate, observable, new, york, state, northeastern, united, states, annual, average, temperatures, rise, winter, snow, cover, decreasing, heat, waves, precipitation, intensifying, sea, levels, york's, coastline, approximately, foot, experienced, increasing, number, extreme, unusual, weather, events, hurricanes, irene, lee, unprecedented, superstorm, sandy, caused, deaths, billion, damage	§ 2.2.	44
