Item	Page_Lines	Para	Text
1	1.1 - 1.2	§ 1.	"Short title. This act shall be known and may be cited as the ""climate and community investment act"". "
2	1.3 - 1.4	§ 2.	Legislative findings and declaration. The legislature finds and declares that: 
3	1.5 - 1.7	§ 2.1.	Climate change is adversely affecting economic well-being, public health, natural resources, and the environment of New York. The adverse impacts of climate change include: 
4	1.8 - 1.11	§ 2.1.(a)	an increase in the severity and frequency of extreme weather events, such as storms, flooding, and heat waves, which can cause direct injury or death, property damage, and ecological damage (e.g., through the release of hazardous substances into the environment); 
5	1.12 - 1.15	§ 2.1.(b)	rising sea levels, which exacerbate damage from storm surges and flooding, contribute to coastal erosion and saltwater intrusion, and inundate low-lying areas, leading to the displacement of or damage to coastal habitat, property, and infrastructure; 
6	1.16 - 1.16	§ 2.1.(c)	exacerbation of air pollution; 
7	1.17 - 1.18	§ 2.1.(d)	an increase in the incidences of infectious diseases, asthma attacks, heart attacks, and other negative health outcomes; 
8	1.19 - 1.20	§ 2.1.(e)	increased average temperatures, which increase the demand for air conditioning and refrigeration among residents and businesses; and 
9	2.1 - 2.2	§ 2.1.(f)	extensive environmental degradation with devastating impacts to wildlife and natural habitats, ecosystems and food supplies. 
10	2.3 - 2.11	§ 2.2.	Many of the impacts of climate change are already observable in New York state and the northeastern United States. Annual average temperatures are on the rise, winter snow cover is decreasing, heat waves and precipitation are intensifying, and sea levels along New York's coastline are approximately one foot higher than they were in 1900. New York has also experienced an increasing number of extreme and unusual weather events, like Hurricanes Irene and Lee and the unprecedented Superstorm Sandy in 2012, which caused at least 53 deaths and $32 billion in damage in New York state. 
11	2.12 - 2.16	§ 2.3.	New York should therefore minimize the risks associated with climate change through a combination of measures to reduce statewide greenhouse gas emissions and improve the resiliency of the state with respect to the impacts and risks of climate change that cannot be avoided. 
12	2.17 - 2.24	§ 2.4.	Climate change especially heightens the vulnerability of disadvantaged communities, including communities of color and low-income communities, which bear environmental and socioeconomic burdens as well as legacies of racial and ethnic discrimination. Disadvantaged communities are more likely to experience flooding and urban heat island effects, and to live in housing vulnerable to destruction from storms. Low-income New Yorkers lack emergency savings to keep up with necessary expenses following the disruption from a major storm or climate event. 
13	2.25 - 2.31	§ 2.5.	Actions taken by New York state to reduce greenhouse gas emissions, and those taken to increase the resiliency of the state with respect to the impacts and risks of climate change, should prioritize the safety, health, and resiliency of disadvantaged communities, control potential regressive impacts of future climate change mitigation and adaptation policies on these communities, and prioritize the allocation of public investments in these areas. 
14	2.32 - 2.35	§ 2.6.	Disadvantaged communities in New York state experience greater exposure to air pollution and subsequent negative health impacts, in large part due to legacies of racial, ethnic, and socio-economic discrimination. New York's communities of color are more likely to: 
15	2.36 - 2.38	§ 2.6.(a)	live near sites of high pollution, including power plants, highly trafficked automotive routes, waste transfer stations,        landfills, hazardous waste sites and toxic industrial facilities; 
16	2.39 - 2.40	§ 2.6.(b)	breathe in a greater volume of pollution, including both ozone and particulate matter; 
17	2.41 - 2.42	§ 2.6.(c)	experience asthma and other pollution-related illnesses including increased hospitalization rates for childhood asthma; 
18	2.43 - 2.45	§ 2.6.(d)	have higher rates of cancer due to disproportionate exposure to air pollution, including lung cancer and other pollution-affiliated cancers; and 
19	2.46 - 2.49	§ 2.6.(e)	experience other negative health impacts, including but not limited to reduced fertility rates, adverse pregnancy outcomes and increased vulnerability to the consequences of co-morbidities like diabetes and high blood pressure. 
20	2.50 - 3.2	§ 2.7.	In the spring of 2020, New York experienced the devastating impacts of the Covid-19 pandemic. Tens of thousands of New Yorkers died, and many hundreds of thousands more became ill. Air pollution played a significant role in this pandemic, as residents of communities of color who live in highly polluted areas died disproportionately from Covid-19 when compared to patients from less polluted neighborhoods. Throughout the pandemic, New Yorkers of color continue to disproportionately contract, fall ill, and die from Covid-19, in part because of disproportionate exposure to toxic air pollution. 
21	3.3 - 3.13	§ 2.8.	The Covid-19 pandemic has also caused a national economic crisis which has also severely impacted New York State. Many New Yorkers lost their jobs during the Covid-19 pandemic, with unemployment rates reaching levels not seen since the Great Depression. Such mass job loss increased precarity for thousands of New Yorkers and left many less able to weather current or future emergencies. Child and dependent care shortages are and continue to be a barrier to work in New York, especially for women, who disproportionately take on unpaid caregiving responsibilities when their family cannot find or afford child and dependent care. Low and middle-income families and families of color disproportionately lack access to quality child and dependent care. 
22	3.14 - 3.26	§ 2.9.	New York state has an interest in reducing air pollution that increases risk for Covid-19 and ensuring that all populations are equally able to breathe clean air and live healthful lives. Actions undertaken by New York to reduce air pollution should prioritize the health and safety of disadvantaged communities, prioritize the allocation of public investments in these areas, and control potential regressive impacts of climate policies on these communities. Further, it is in the interest of the state to invest in creating stable and safe employment opportunities for individuals who have lost their jobs as part of the Covid-19 recession. This includes protecting and promoting the ability for all workers to equitably participate in a just clean energy transition by increasing equitable and comprehensive access to child and dependent care. 
23	3.27 - 3.35	§ 2.10.	Racial justice and environmental justice are inextricably linked to achieving a just clean energy transition in New York. The murder of George Floyd on May 25, 2020 was followed by mass protests for Black lives in New York state and throughout the nation. These movements have forced a national reckoning with the fact that racial injustice has resulted in over-policing and mass incarceration of communities of color. It is in the interest of the state of New York that no funds from programs for pricing greenhouse gas emissions are invested in police, prisons or related infrastructure. 
24	3.36 - 3.42	§ 2.11.	The adverse impacts of climate change are having a detrimental effect on some of New York's largest industries, including agriculture, commercial shipping, forestry, tourism, and recreational and commercial fishing. These impacts also place additional strain on the physical infrastructure that delivers critical services to the citizens of New York, including the state's energy, transportation, stormwater, and wastewater infrastructure. 
25	3.43 - 3.49	§ 2.12.	Creating good jobs and a thriving economy is a core concern of New York state. Shaping the ongoing transition in our energy sector to ensure that it creates good jobs and protects workers and communities that may lose employment in the current transition must be key concerns of our climate policy. Setting clear standards for job quality and training standards encourages not only high-quality work but positive economic impacts. 
26	3.50 - 4.6	§ 2.13.	Ensuring career opportunities are created and shared geographically and demographically is necessary to ensure increased access to good jobs for marginalized communities while making the same neighborhoods more resilient. Climate change has a disproportionate impact on low-income people, communities of color, women, youth, children and workers. This includes formerly incarcerated individuals. Disadvantaged communities and workers must have access to all aspects of the state's clean energy economy, including as investors and developers of clean energy projects.     It is in the interest of the state of New York to protect and promote the interests of these groups against the impacts of climate change and severe weather events and to advance our equity goals by ensuring quality employment opportunities in safe working environments. 
27	4.7 - 4.15	§ 2.14.	Addressing climate change challenges through the expansion and growth of clean and renewable energy sources requires New York to make substantial proprietary and financial investments in this sector and to become an investor and partner in the development of renewable energy programs and projects. New York has long provided forms of state assistance, including grants, energy credits, or tax incentives to developers, project owners and other entities proposing clean and renewable energy projects. Key findings relating to state assistance in the clean and renewable energy sector are as follows: 
28	4.16 - 4.28	§ 2.14.(a)	providing forms of state assistance in renewable energy projects results in New York becoming a co-investor in this sector with strong financial, proprietary interests in the projects it supports. Such assistance is essential since the expansion and development of this market, would not occur at the scale and pace needed without substantial financial investment by the state. New York has already invested billions of dollars in promoting its renewable energy programs and will continue to invest substantial sums over the next several years to assist the growth and development of the sector. Such investments are critical not only for the development of individual renewable energy projects, but also to ensure that projects are effectively planned and executed and produce adequate amounts of clean energy needed to meet the state's future needs for safe, affordable reliable power; 
29	4.29 - 4.33	§ 2.14.(b)	it is vital that the state's investments in clean and renewable energy be protected and monitored through all stages of development to make certain that they are effective in producing the intended results. The need for this protection has grown greater due to the enormous economic burden imposed on the state by the Covid-19 pandemic; 
30	4.34 - 4.44	§ 2.14.(c)	one of the areas in need of most protection is the actual construction and operation of renewable energy projects, especially large-scale projects. Because the construction industry is inherently complex and challenging, the delivery of projects, especially large capital construction projects, is fraught with numerous high-level risks that stem from various sources. These include but are not limited to project funding, financial resources and stability of project partners, project designs and specifications. Risks also include site conditions, equipment and material supply chains, and the experience, capacity and technical qualifications of developers, contractors and craft labor personnel used for a given project; 
