Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
1	Section 1.	1.1 - 1.2	"This act shall be known and may be cited as the ""climate change superfund act"". "	this, act, shall, be, known, and, may, be, cited, as, the, climate, change, superfund, act	act, known, may, cited, climate, superfund	§ 1.	6
2	§ 2.	1.3 - 1.4	Legislative findings. The legislature finds and declares the following: 	legislative, findings, the, legislature, finds, and, declares, the, following	legislative, findings, legislature, finds, declares	§ 2.	5
3	1.	1.5 - 1.17	Climate change, resulting primarily from the combustion of fossil fuels, is an immediate, grave threat to the state's communities, environment, and economy. In addition to mitigating the further buildup of greenhouse gases, the state must take action to adapt to certain consequences of climate change that are irreversible, including rising sea levels, increasing temperatures, extreme weather events, flooding, heat waves, toxic algal blooms and other climate-change-driven threats. Maintaining New York's quality of life into the future, particularly for young people, who will experience greater impacts from climate change over their lifetimes, will be one of the state's greatest challenges over the next three decades. Meeting that challenge will require a shared commitment of purpose and huge investments in new or upgraded infrastructure. 	climate, change, resulting, primarily, from, the, combustion, of, fossil, fuels, is, an, immediate, grave, threat, to, the, state's, communities, environment, and, economy, in, addition, to, mitigating, the, further, buildup, of, greenhouse, gases, the, state, must, take, action, to, adapt, to, certain, consequences, of, climate, change, that, are, irreversible, including, rising, sea, levels, increasing, temperatures, extreme, weather, events, flooding, heat, waves, toxic, algal, blooms, and, other, climate, change, driven, threats, maintaining, new, york's, quality, of, life, into, the, future, particularly, for, young, people, who, will, experience, greater, impacts, from, climate, change, over, their, lifetimes, will, be, one, of, the, state's, greatest, challenges, over, the, next, three, decades, meeting, that, challenge, will, require, a, shared, commitment, of, purpose, and, huge, investments, in, new, or, upgraded, infrastructure	climate, resulting, primarily, combustion, fossil, fuels, immediate, grave, threat, state's, communities, environment, economy, addition, mitigating, buildup, greenhouse, gases, state, action, adapt, certain, consequences, irreversible, rising, sea, levels, increasing, temperatures, extreme, weather, events, flooding, heat, waves, toxic, algal, blooms, driven, threats, maintaining, new, york's, quality, life, future, particularly, experience, greater, impacts, lifetimes, greatest, challenges, decades, meeting, challenge, require, shared, commitment, purpose, huge, investments, upgraded, infrastructure	§ 2.1.	64
4	2.	1.18 - 1.24	New York has previously adopted programs now in place - the inactive hazardous waste disposal site (state superfund) program and the oil spill fund - to remediate environmental damage to lands and waters based on the principle that, where possible, the entities responsible for environmental damage should pay for its cleanup. No similar program exists yet for the pollution of the atmosphere by greenhouse gas buildup as a result of burning fossil fuels. 	new, york, has, previously, adopted, programs, now, in, place, the, inactive, hazardous, waste, disposal, site, state, superfund, program, and, the, oil, spill, fund, to, remediate, environmental, damage, to, lands, and, waters, based, on, the, principle, that, where, possible, the, entities, responsible, for, environmental, damage, should, pay, for, its, cleanup, no, similar, program, exists, yet, for, the, pollution, of, the, atmosphere, by, greenhouse, gas, buildup, as, a, result, of, burning, fossil, fuels	new, york, previously, adopted, programs, inactive, hazardous, waste, disposal, state, superfund, program, oil, spill, fund, remediate, environmental, damage, lands, waters, principle, possible, entities, responsible, cleanup, exists, pollution, atmosphere, greenhouse, gas, buildup, burning, fossil, fuels	§ 2.2.	34
5	3.	1.25 - 2.3	Based on decades of research it is now possible to determine with great accuracy the share of greenhouse gases released into the atmosphere by specific fossil fuel companies over the last 70 years or more, making it possible to assign liability to and require compensation from companies commensurate with their emissions during a given time period. 	based, on, decades, of, research, it, is, now, possible, to, determine, with, great, accuracy, the, share, of, greenhouse, gases, released, into, the, atmosphere, by, specific, fossil, fuel, companies, over, the, last, 70, years, or, more, making, it, possible, to, assign, liability, to, and, require, compensation, from, companies, commensurate, with, their, emissions, during, a, given, time, period	decades, research, possible, determine, accuracy, greenhouse, gases, released, atmosphere, fossil, fuel, companies, years, assign, liability, require, compensation, commensurate, emissions, period	§ 2.3.	20
6	4.	2.4 - 2.9	It is the intent of the legislature to establish a climate change adaptation cost recovery program that will require companies that have contributed significantly to the buildup of climate change-driving greenhouse gases in the atmosphere to bear a proportionate share of the cost of infrastructure investments required to adapt to the impacts of climate change in New York state. 	it, is, the, intent, of, the, legislature, to, establish, a, climate, change, adaptation, cost, recovery, program, that, will, require, companies, that, have, contributed, significantly, to, the, buildup, of, climate, change, driving, greenhouse, gases, in, the, atmosphere, to, bear, a, proportionate, share, of, the, cost, of, infrastructure, investments, required, to, adapt, to, the, impacts, of, climate, change, in, new, york, state	intent, legislature, establish, climate, adaptation, cost, recovery, program, require, companies, contributed, significantly, buildup, driving, greenhouse, gases, atmosphere, bear, proportionate, infrastructure, investments, required, adapt, impacts, new, york, state	§ 2.4.	27
7	5.	2.10 - 2.15	a. The obligation to pay under the program is based on the fossil fuel companies' historic contribution to the buildup of greenhouse gases that is largely responsible for climate change. The program operates under a standard of strict liability; companies are required to pay into the fund because the use of their products caused the pollution. No finding of wrongdoing is required. 	a, the, obligation, to, pay, under, the, program, is, based, on, the, fossil, fuel, companies, historic, contribution, to, the, buildup, of, greenhouse, gases, that, is, largely, responsible, for, climate, change, the, program, operates, under, a, standard, of, strict, liability, companies, are, required, to, pay, into, the, fund, because, the, use, of, their, products, caused, the, pollution, no, finding, of, wrongdoing, is, required	obligation, program, fossil, fuel, companies, historic, contribution, buildup, greenhouse, gases, largely, responsible, climate, operates, standard, strict, liability, required, fund, products, caused, pollution, finding, wrongdoing	§ 2.5.	24
8	b.	2.16 - 2.25	Nonetheless, the legislature recognizes that the actions of many of the biggest fossil fuel companies have been unconscionable, closely reflecting the strategy of denial, deflection, and delay used by the tobacco industry. In spite of the information provided by their own scientists that the continued burning of fossil fuels would have catastrophic results, these companies hid the truth from the public and actively spread false information that the science of climate change was uncertain when in fact it was beyond controversy. This breach of the public trust was breathtaking in its scope and consequences, and it continues to this day. 	nonetheless, the, legislature, recognizes, that, the, actions, of, many, of, the, biggest, fossil, fuel, companies, have, been, unconscionable, closely, reflecting, the, strategy, of, denial, deflection, and, delay, used, by, the, tobacco, industry, in, spite, of, the, information, provided, by, their, own, scientists, that, the, continued, burning, of, fossil, fuels, would, have, catastrophic, results, these, companies, hid, the, truth, from, the, public, and, actively, spread, false, information, that, the, science, of, climate, change, was, uncertain, when, in, fact, it, was, beyond, controversy, this, breach, of, the, public, trust, was, breathtaking, in, its, scope, and, consequences, and, it, continues, to, this, day	nonetheless, legislature, recognizes, actions, biggest, fossil, fuel, companies, unconscionable, closely, reflecting, strategy, denial, deflection, delay, tobacco, industry, spite, information, scientists, continued, burning, fuels, catastrophic, results, hid, truth, public, actively, spread, false, science, climate, uncertain, beyond, controversy, breach, trust, breathtaking, scope, consequences, continues	§ 2.5.b.	42
9	c.	2.26 - 2.31	In 2022, the fossil fuel industry has taken advantage of several overlapping global crises to earn immense profits, charging record high prices while aggressively rejecting any responsibility for the costs of its business activities. While all the profits accrue to the companies, all of the costs of climate change are paid by taxpayers. This is a market failure that needs to be addressed through policy change. 	in, 2022, the, fossil, fuel, industry, has, taken, advantage, of, several, overlapping, global, crises, to, earn, immense, profits, charging, record, high, prices, while, aggressively, rejecting, any, responsibility, for, the, costs, of, its, business, activities, while, all, the, profits, accrue, to, the, companies, all, of, the, costs, of, climate, change, are, paid, by, taxpayers, this, is, a, market, failure, that, needs, to, be, addressed, through, policy, change	fossil, fuel, industry, advantage, overlapping, global, crises, earn, immense, profits, charging, record, prices, aggressively, rejecting, responsibility, costs, business, activities, accrue, companies, climate, paid, taxpayers, market, failure, needs, addressed, policy	§ 2.5.c.	29
10	5.	2.32 - 2.39	Payments by historical polluters into the climate change adaptation cost recovery program would be used for new or upgraded infrastructure needs such as sea walls, storm water drain system upgrades and air conditioning in public buildings, including school buildings, all of which are necessary to protect the public safety and welfare in the face of the growing impacts of climate change. At least 35% of the overall benefits of program spending would go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities. 	payments, by, historical, polluters, into, the, climate, change, adaptation, cost, recovery, program, would, be, used, for, new, or, upgraded, infrastructure, needs, such, as, sea, walls, storm, water, drain, system, upgrades, and, air, conditioning, in, public, buildings, including, school, buildings, all, of, which, are, necessary, to, protect, the, public, safety, and, welfare, in, the, face, of, the, growing, impacts, of, climate, change, at, least, 35, of, the, overall, benefits, of, program, spending, would, go, to, climate, change, adaptive, infrastructure, projects, that, directly, benefit, disadvantaged, communities	payments, historical, polluters, climate, adaptation, cost, recovery, program, new, upgraded, infrastructure, needs, sea, walls, storm, water, drain, system, upgrades, air, conditioning, public, buildings, school, necessary, protect, safety, welfare, growing, impacts, overall, benefits, spending, adaptive, projects, directly, benefit, disadvantaged, communities	§ 2.5.	39
11	6.	2.40 - 2.43	This act is not intended to intrude on the authority of the federal government in areas where it has preempted the right of the states to legislate. This act is remedial in nature, seeking compensation for damages resulting from the past actions of polluters. 	this, act, is, not, intended, to, intrude, on, the, authority, of, the, federal, government, in, areas, where, it, has, preempted, the, right, of, the, states, to, legislate, this, act, is, remedial, in, nature, seeking, compensation, for, damages, resulting, from, the, past, actions, of, polluters	act, intended, intrude, authority, federal, government, areas, preempted, states, legislate, remedial, nature, seeking, compensation, damages, resulting, actions, polluters	§ 2.6.	18
12	§ 3.	2.44 - 2.45	The environmental conservation law is amended by adding a new article 76 to read as follows: 	the, environmental, conservation, law, is, amended, by, adding, a, new, article, 76, to, read, as, follows	environmental, conservation, law, amended, adding, new, article, follows	§ 3.	8
13	ARTICLE 76	2.46 - 2.47	CLIMATE CHANGE ADAPTATION COST RECOVERY PROGRAM 	climate, change, adaptation, cost, recovery, program	climate, adaptation, cost, recovery, program	(§3.) ARTICLE 76	5
14	Section 76-0101.	2.48 - 2.48	Definitions. 	definitions	definitions	(§3.) ARTICLE 76 § 76-0101.	1
15	76-0103.	2.49 - 2.49	The climate change adaptation cost recovery program. 	the, climate, change, adaptation, cost, recovery, program	climate, adaptation, cost, recovery, program	(§3.) ARTICLE 76 § 76-0101.76-0103.	5
16	§ 76-0101.	2.50 - 2.52	Definitions. For the purposes of this article the following terms shall have the following meanings: 	definitions, for, the, purposes, of, this, article, the, following, terms, shall, have, the, following, meanings	definitions, purposes, article, terms, meanings	(§3.) ARTICLE 76 § 76-0101.	5
17	1.	2.53 - 2.55	"""Applicable payment date"" means September thirtieth of the second calendar year following the year in which this article is enacted into law. "	applicable, payment, date, means, september, thirtieth, of, the, second, calendar, year, following, the, year, in, which, this, article, is, enacted, into, law	applicable, payment, september, thirtieth, calendar, article, enacted, law	(§3.) ARTICLE 76 § 76-0101.1.	8
18	2.	3.1 - 3.11	"""Climate change adaptive infrastructure project"" means an infrastructure project designed to avoid, moderate, or repair damage caused by climate change. Such projects include but are not limited to the building of sea walls and coastal defenses; upgrading storm water drainage systems; making defensive upgrades to roads, bridges, subways, and transit systems; preparing for and recovering from hurricanes and other extreme weather events; relocating, elevating, or retrofitting sewage treatment plants vulnerable to flooding; installing air conditioning and other upgrades and retrofits in public buildings, including schools; and responding to toxic algae blooms, loss of agricultural topsoil, and other climate-driven ecosystem threats to forests, farms and fisheries. "	climate, change, adaptive, infrastructure, project, means, an, infrastructure, project, designed, to, avoid, moderate, or, repair, damage, caused, by, climate, change, such, projects, include, but, are, not, limited, to, the, building, of, sea, walls, and, coastal, defenses, upgrading, storm, water, drainage, systems, making, defensive, upgrades, to, roads, bridges, subways, and, transit, systems, preparing, for, and, recovering, from, hurricanes, and, other, extreme, weather, events, relocating, elevating, or, retrofitting, sewage, treatment, plants, vulnerable, to, flooding, installing, air, conditioning, and, other, upgrades, and, retrofits, in, public, buildings, including, schools, and, responding, to, toxic, algae, blooms, loss, of, agricultural, topsoil, and, other, climate, driven, ecosystem, threats, to, forests, farms, and, fisheries	climate, adaptive, infrastructure, project, designed, avoid, moderate, repair, damage, caused, projects, limited, building, sea, walls, coastal, defenses, upgrading, storm, water, drainage, systems, defensive, upgrades, roads, bridges, subways, transit, preparing, recovering, hurricanes, extreme, weather, events, relocating, elevating, retrofitting, sewage, treatment, plants, vulnerable, flooding, installing, air, conditioning, retrofits, public, buildings, schools, responding, toxic, algae, blooms, loss, agricultural, topsoil, driven, ecosystem, threats, forests, farms, fisheries	(§3.) ARTICLE 76 § 76-0101.2.	62
19	3.	3.12 - 3.13	"""Coal"" shall have the same definition as in section 1-103 of the energy law. "	coal, shall, have, the, same, definition, as, in, section, 1, 103, of, the, energy, law	coal, definition, energy, law	(§3.) ARTICLE 76 § 76-0101.3.	4
